"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Villanova","BE",0.970287,1,123.051,3,90.8731,6,66.641,289,8.9299114524666,26,0.5883,0.5883,35,0.7251,0.7251,2,2016
"2","Kansas","B12",0.966188,2,120.948,8,90.3629,4,70.1047,113,11.606199794077,26,0.6073,0.6073,38,0.7575,0.7575,1,2016
"3","Virginia","ACC",0.960005,3,119.922,9,90.9649,7,61.8262,351,8.6569061820714,26,0.6301,0.6301,37,0.7566,0.7566,1,2016
"4","North Carolina","ACC",0.953144,4,123.289,1,94.8752,26,71.6308,57,8.5373599173429,21,0.6027,0.6027,34,0.7412,0.7412,1,2016
"5","Kentucky","SEC",0.951703,5,123.203,2,95.0711,28,68.2194,215,5.0125369122541,23,0.6005,0.6005,29,0.7066,0.7066,4,2016
"6","Michigan St.","B10",0.94283,6,122.544,4,96.0378,38,67.5784,250,7.2421764850033,20,0.5316,0.5316,27,0.6465,0.6465,2,2016
"7","West Virginia","B12",0.939593,7,114.813,26,90.438,5,70.8686,87,7.4143898866978,22,0.5525,0.5525,36,0.7295,0.7295,3,2016
"8","Oklahoma","B12",0.932643,8,118.232,15,94.0781,22,70.8028,89,8.0373040675974,23,0.5646,0.5646,39,0.7589,0.7589,2,2016
"9","Wichita St.","MVC",0.932131,9,110.307,67,87.8342,1,66.7319,284,0.16573248855494,25,0.6631,0.6631,22,0.5968,0.5968,11,2016
"10","Purdue","B10",0.93155,10,117.191,19,93.3901,16,68.8421,176,4.358288761051,18,0.5042,0.5042,27,0.6607,0.6607,5,2016
"11","Louisville","ACC",0.925041,11,111.505,57,89.6183,2,67.1292,266,4.2885826596286,15,0.402,0.402,32,0.6502,0.6502,NA,2016
"12","Gonzaga","WCC",0.923771,12,117.424,17,94.5243,25,68.1909,218,2.0995123190405,26,0.6392,0.6392,23,0.5993,0.5993,11,2016
"13","Xavier","BE",0.922949,13,116.997,20,94.2762,24,72.3827,43,7.7180934408062,19,0.5864,0.5864,30,0.7004,0.7004,2,2016
"14","Miami FL","ACC",0.920301,14,119.437,10,96.5496,46,67.0144,271,6.8590614910425,19,0.5981,0.5981,35,0.7481,0.7481,3,2016
"15","Indiana","B10",0.91684,15,121.268,6,98.4246,74,69.4772,143,3.2068047330781,15,0.4765,0.4765,26,0.6374,0.6374,5,2016
"16","Oregon","P12",0.916324,16,118.4,12,96.1538,39,68.9742,167,6.6892052840697,16,0.5626,0.5626,30,0.7119,0.7119,1,2016
"17","Iowa St.","B12",0.916194,17,121.395,5,98.6005,77,72.3161,47,3.5806879977006,22,0.5671,0.5671,36,0.7373,0.7373,4,2016
"18","Vanderbilt","SEC",0.914845,18,114.529,28,93.1646,13,68.6292,185,-0.35258706095052,27,0.5985,0.5985,32,0.6972,0.6972,11,2016
"19","Texas A&M","SEC",0.912643,19,113.037,40,92.1747,10,68.3606,205,5.2064833537135,23,0.6027,0.6027,29,0.7097,0.7097,3,2016
"20","Duke","ACC",0.91222,20,121.168,7,98.8502,83,68.6731,184,4.2234938022241,23,0.6263,0.6263,33,0.7472,0.7472,4,2016
"21","Arizona","P12",0.902179,21,116.056,22,95.6681,35,69.0497,164,3.4021827598997,15,0.484,0.484,27,0.6626,0.6626,6,2016
"22","Seton Hall","BE",0.901365,22,110.836,62,91.4378,8,70.4072,100,5.2936281279384,16,0.4883,0.4883,32,0.6851,0.6851,6,2016
"23","California","P12",0.900594,23,112.432,44,92.8244,12,68.8125,178,2.2369637455309,18,0.4987,0.4987,28,0.6799,0.6799,4,2016
"24","SMU","Amer",0.897416,24,117.239,18,97.0881,54,66.5678,291,3.6226108690302,16,0.5135,0.5135,20,0.5889,0.5889,NA,2016
"25","Baylor","B12",0.89237,25,119.259,11,99.2225,91,67.364,257,3.5468493755971,20,0.4922,0.4922,36,0.7178,0.7178,5,2016
"26","Butler","BE",0.88985,26,118.243,14,98.6001,76,69.1633,160,2.0508208930192,19,0.4678,0.4678,32,0.6665,0.6665,9,2016
"27","Syracuse","ACC",0.885657,27,111.886,52,93.6414,20,65.5139,327,-0.29037876378157,17,0.5169,0.5169,34,0.7075,0.7075,10,2016
"28","Iowa","B10",0.88533,28,114.396,29,95.7691,36,69.8091,124,1.9653956621587,23,0.5421,0.5421,31,0.6749,0.6749,7,2016
"29","Maryland","B10",0.883859,29,114.942,24,96.3462,42,67.9187,234,3.9521505712075,18,0.5071,0.5071,30,0.6739,0.6739,5,2016
"30","Saint Mary's","WCC",0.882954,30,117.575,16,98.629,78,62.5063,347,1.9480715619529,12,0.4454,0.4454,17,0.5223,0.5223,NA,2016
"31","VCU","A10",0.881059,31,112.083,49,94.1711,23,70.2676,107,-0.0918547553992,20,0.5468,0.5468,22,0.6146,0.6146,10,2016
"32","Utah","P12",0.880728,32,115.763,23,97.2893,55,66.8903,278,5.6442322405606,25,0.5649,0.5649,32,0.7088,0.7088,3,2016
"33","Connecticut","Amer",0.873152,33,110.487,65,93.4244,17,66.8244,280,1.1618733646593,22,0.5239,0.5239,26,0.6355,0.6355,9,2016
"34","Florida","SEC",0.87025,34,110.025,74,93.2438,14,69.8624,123,0.1139987885347,29,0.6481,0.6481,33,0.7294,0.7294,NA,2016
"35","Cincinnati","Amer",0.866027,35,109.992,75,93.5148,18,65.9954,313,0.28685252486763,21,0.4935,0.4935,24,0.6073,0.6073,9,2016
"36","Pittsburgh","ACC",0.865933,36,113.949,31,96.8858,51,66.2783,305,1.7616128523101,10,0.4152,0.4152,32,0.6889,0.6889,10,2016
"37","Texas","B12",0.862703,37,112.225,47,95.6493,33,66.2976,303,3.2248542636041,25,0.6323,0.6323,37,0.7615,0.7615,6,2016
"38","Creighton","BE",0.86043,38,112.756,42,96.2608,40,71.2795,69,-1.8527500662652,17,0.4469,0.4469,29,0.6414,0.6414,NA,2016
"39","Saint Joseph's","A10",0.860006,39,114.238,30,97.5564,59,70.8896,86,3.4215814782521,20,0.5683,0.5683,23,0.6338,0.6338,8,2016
"40","Wisconsin","B10",0.850889,40,108.824,92,93.531,19,64.0403,342,0.42087271102434,21,0.5758,0.5758,31,0.6985,0.6985,7,2016
"41","Valparaiso","Horz",0.847579,41,106.554,123,91.7859,9,67.4614,253,0.45056858666956,22,0.5861,0.5861,16,0.5213,0.5213,NA,2016
"42","George Washington","A10",0.845364,42,114.853,25,99.0809,87,67.2002,264,-0.76358326340945,17,0.497,0.497,21,0.6088,0.6088,NA,2016
"43","Georgia Tech","ACC",0.844965,43,113.856,32,98.2475,72,67.8045,238,-0.014773266366864,18,0.5222,0.5222,33,0.7204,0.7204,NA,2016
"44","Kansas St.","B12",0.843056,44,108.533,95,93.772,21,67.621,248,-1.3292653375453,19,0.4956,0.4956,36,0.7083,0.7083,NA,2016
"45","San Diego St.","MWC",0.836618,45,104.025,165,90.2523,3,65.8388,317,0.084778664436133,29,0.6356,0.6356,20,0.6109,0.6109,NA,2016
"46","USC","P12",0.835221,46,113.686,33,98.7211,81,72.0512,53,0.16933731008529,18,0.517,0.517,28,0.678,0.678,8,2016
"47","Notre Dame","ACC",0.82687,47,118.348,13,103.303,168,65.4727,328,2.3040410811814,17,0.5013,0.5013,34,0.7115,0.7115,6,2016
"48","Clemson","ACC",0.824069,48,112.072,50,97.9905,64,64.4273,339,-2.4422406590325,10,0.3898,0.3898,28,0.6468,0.6468,NA,2016
"49","Stephen F. Austin","Slnd",0.823457,49,110.307,68,96.4824,45,68.216,216,-1.1640899252719,24,0.5842,0.5842,12,0.3623,0.3623,14,2016
"50","Texas Tech","B12",0.822685,50,113.05,39,98.9272,84,67.2146,263,1.3373041553506,16,0.5523,0.5523,34,0.7307,0.7307,8,2016
"51","BYU","WCC",0.822337,51,112.036,51,98.0597,69,74.3781,10,-1.4901059281549,20,0.5668,0.5668,20,0.5643,0.5643,NA,2016
"52","Yale","Ivy",0.82089,52,109.109,87,95.5801,32,66.7262,285,-0.052745577848316,21,0.4784,0.4784,18,0.4899,0.4899,12,2016
"53","Michigan","B10",0.819955,53,113.413,37,99.4054,96,66.3038,302,0.80969017529195,21,0.484,0.484,30,0.6581,0.6581,11,2016
"54","Providence","BE",0.819276,54,108.745,93,95.352,31,69.2776,152,3.3482395438387,17,0.48,0.48,33,0.6802,0.6802,9,2016
"55","Dayton","A10",0.818356,55,105.502,144,92.5585,11,68.4518,196,2.4241547635629,21,0.5922,0.5922,22,0.6249,0.6249,7,2016
"56","Georgetown","BE",0.811846,56,111.275,59,97.9905,65,68.8481,175,-4.2128346937785,22,0.5595,0.5595,33,0.6871,0.6871,NA,2016
"57","Northern Iowa","MVC",0.810896,57,109.707,80,96.6623,48,63.6914,346,-2.1330487178146,27,0.6623,0.6623,23,0.6038,0.6038,11,2016
